2022-05-16 20:05:470 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-16 20:05:406 INFO  HomePage :59 - Clicking on Signin link : [[ChromeDriver: chrome on WINDOWS (dbdf8b2c479b2d987d293196c2b01401)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-16 20:05:581 INFO  SignInPage :62 - Sending text to Email Field : [[ChromeDriver: chrome on WINDOWS (dbdf8b2c479b2d987d293196c2b01401)] -> xpath: //input[@id='email_create']]
2022-05-16 20:05:699 INFO  SignInPage :51 - Clicking on Create Account link : [[ChromeDriver: chrome on WINDOWS (dbdf8b2c479b2d987d293196c2b01401)] -> xpath: //span[normalize-space()='Create an account']]
2022-05-16 20:05:409 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-16 20:05:649 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-16 20:05:556 INFO  HomePage :59 - Clicking on Signin link : [[ChromeDriver: chrome on WINDOWS (a213b51911f545957f7d03e6193ea141)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-16 20:05:771 INFO  SignInPage :62 - Sending text to Email Field : [[ChromeDriver: chrome on WINDOWS (a213b51911f545957f7d03e6193ea141)] -> xpath: //input[@id='email_create']]
2022-05-16 20:05:924 INFO  SignInPage :51 - Clicking on Create Account link : [[ChromeDriver: chrome on WINDOWS (a213b51911f545957f7d03e6193ea141)] -> xpath: //span[normalize-space()='Create an account']]
2022-05-16 20:05:247 INFO  CreateAccountPage :77 - Sending text to Firstname Field : [[ChromeDriver: chrome on WINDOWS (a213b51911f545957f7d03e6193ea141)] -> xpath: //input[@id='customer_firstname']]
2022-05-16 20:05:456 INFO  CreateAccountPage :83 - Sending text to Lastname Field : [[ChromeDriver: chrome on WINDOWS (a213b51911f545957f7d03e6193ea141)] -> xpath: //input[@id='customer_lastname']]
2022-05-16 20:05:815 INFO  CreateAccountPage :99 - Sending text to password field : [[ChromeDriver: chrome on WINDOWS (a213b51911f545957f7d03e6193ea141)] -> xpath: //input[@id='passwd']]
2022-05-16 20:05:225 INFO  CreateAccountPage :104 - Sending text to Firstname Field : [[ChromeDriver: chrome on WINDOWS (a213b51911f545957f7d03e6193ea141)] -> xpath: //input[@id='firstname']]
2022-05-16 20:05:410 INFO  CreateAccountPage :109 - Sending text to Lastname Field : [[ChromeDriver: chrome on WINDOWS (a213b51911f545957f7d03e6193ea141)] -> xpath: //input[@id='lastname']]
2022-05-16 20:05:691 INFO  CreateAccountPage :114 - Sending text to Address Field : [[ChromeDriver: chrome on WINDOWS (a213b51911f545957f7d03e6193ea141)] -> xpath: //input[@id='address1']]
2022-05-16 20:05:898 INFO  CreateAccountPage :119 - Sending text to city Field : [[ChromeDriver: chrome on WINDOWS (a213b51911f545957f7d03e6193ea141)] -> xpath: //input[@id='city']]
2022-05-16 20:05:140 INFO  CreateAccountPage :124 - Selecting text from State Field : [[ChromeDriver: chrome on WINDOWS (a213b51911f545957f7d03e6193ea141)] -> xpath: //select[@id='id_state']]
2022-05-16 20:05:372 INFO  CreateAccountPage :129 - Sending text to Zipcode Field : [[ChromeDriver: chrome on WINDOWS (a213b51911f545957f7d03e6193ea141)] -> xpath: //input[@id='postcode']]
2022-05-16 20:05:614 INFO  CreateAccountPage :134 - Sending text to Mobile Field : [[ChromeDriver: chrome on WINDOWS (a213b51911f545957f7d03e6193ea141)] -> xpath: //input[@id='phone_mobile']]
2022-05-16 20:05:866 INFO  CreateAccountPage :139 - Sending text to Assign Field : [[ChromeDriver: chrome on WINDOWS (a213b51911f545957f7d03e6193ea141)] -> xpath: //input[@id='alias']]
2022-05-16 20:05:588 INFO  CreateAccountPage :144 - Clicking on register link : [[ChromeDriver: chrome on WINDOWS (a213b51911f545957f7d03e6193ea141)] -> xpath: //span[normalize-space()='Register']]
2022-05-16 20:05:643 INFO  CreateAccountPage :149 - Getting text from : [[ChromeDriver: chrome on WINDOWS (a213b51911f545957f7d03e6193ea141)] -> xpath: //h1[normalize-space()='My account']]
2022-05-16 20:05:89 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-16 20:05:722 INFO  HomePage :59 - Clicking on Signin link : [[ChromeDriver: chrome on WINDOWS (a6509810d9ab82169baa9d56594d1aad)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-16 20:05:770 INFO  SignInPage :107 - Getting text from : [[ChromeDriver: chrome on WINDOWS (a6509810d9ab82169baa9d56594d1aad)] -> xpath: //h1[normalize-space()='Authentication']]
2022-05-16 20:05:999 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-16 20:05:208 INFO  HomePage :59 - Clicking on Signin link : [[ChromeDriver: chrome on WINDOWS (66114e6bff055291d63244c5ca875865)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-16 20:05:458 INFO  SignInPage :92 - Sending text to Email Field : [[ChromeDriver: chrome on WINDOWS (66114e6bff055291d63244c5ca875865)] -> xpath: //input[@id='email']]
2022-05-16 20:05:799 INFO  SignInPage :97 - Sending text to Password Field : [[ChromeDriver: chrome on WINDOWS (66114e6bff055291d63244c5ca875865)] -> xpath: //input[@id='passwd']]
2022-05-16 20:05:216 INFO  SignInPage :102 - Clicking on Signin link : [[ChromeDriver: chrome on WINDOWS (66114e6bff055291d63244c5ca875865)] -> xpath: //span[normalize-space()='Sign in']]
2022-05-16 20:05:279 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-16 20:05:243 INFO  HomePage :59 - Clicking on Signin link : [[ChromeDriver: chrome on WINDOWS (76e7fd137c49c056607af562fddcbd47)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-16 20:05:539 INFO  SignInPage :92 - Sending text to Email Field : [[ChromeDriver: chrome on WINDOWS (76e7fd137c49c056607af562fddcbd47)] -> xpath: //input[@id='email']]
2022-05-16 20:05:768 INFO  SignInPage :97 - Sending text to Password Field : [[ChromeDriver: chrome on WINDOWS (76e7fd137c49c056607af562fddcbd47)] -> xpath: //input[@id='passwd']]
2022-05-16 20:05:961 INFO  SignInPage :102 - Clicking on Signin link : [[ChromeDriver: chrome on WINDOWS (76e7fd137c49c056607af562fddcbd47)] -> xpath: //span[normalize-space()='Sign in']]
2022-05-16 20:05:910 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-16 20:05:109 INFO  HomePage :59 - Clicking on Signin link : [[ChromeDriver: chrome on WINDOWS (2efeb2e1f09f0675d75d29781d64e359)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-16 20:05:239 INFO  SignInPage :92 - Sending text to Email Field : [[ChromeDriver: chrome on WINDOWS (2efeb2e1f09f0675d75d29781d64e359)] -> xpath: //input[@id='email']]
2022-05-16 20:05:398 INFO  SignInPage :97 - Sending text to Password Field : [[ChromeDriver: chrome on WINDOWS (2efeb2e1f09f0675d75d29781d64e359)] -> xpath: //input[@id='passwd']]
2022-05-16 20:05:197 INFO  SignInPage :102 - Clicking on Signin link : [[ChromeDriver: chrome on WINDOWS (2efeb2e1f09f0675d75d29781d64e359)] -> xpath: //span[normalize-space()='Sign in']]
2022-05-16 20:05:86 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-16 20:05:994 INFO  HomePage :59 - Clicking on Signin link : [[ChromeDriver: chrome on WINDOWS (f8d84d8b3f917abf99fb480b997d865c)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-16 20:05:103 INFO  SignInPage :92 - Sending text to Email Field : [[ChromeDriver: chrome on WINDOWS (f8d84d8b3f917abf99fb480b997d865c)] -> xpath: //input[@id='email']]
2022-05-16 20:05:225 INFO  SignInPage :97 - Sending text to Password Field : [[ChromeDriver: chrome on WINDOWS (f8d84d8b3f917abf99fb480b997d865c)] -> xpath: //input[@id='passwd']]
2022-05-16 20:05:995 INFO  SignInPage :102 - Clicking on Signin link : [[ChromeDriver: chrome on WINDOWS (f8d84d8b3f917abf99fb480b997d865c)] -> xpath: //span[normalize-space()='Sign in']]
2022-05-16 20:05:856 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-16 20:05:719 INFO  HomePage :59 - Clicking on Signin link : [[ChromeDriver: chrome on WINDOWS (fec6d7ba0d4ddb7c755d5e792f648877)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-16 20:05:854 INFO  SignInPage :92 - Sending text to Email Field : [[ChromeDriver: chrome on WINDOWS (fec6d7ba0d4ddb7c755d5e792f648877)] -> xpath: //input[@id='email']]
2022-05-16 20:05:968 INFO  SignInPage :97 - Sending text to Password Field : [[ChromeDriver: chrome on WINDOWS (fec6d7ba0d4ddb7c755d5e792f648877)] -> xpath: //input[@id='passwd']]
2022-05-16 20:05:628 INFO  SignInPage :102 - Clicking on Signin link : [[ChromeDriver: chrome on WINDOWS (fec6d7ba0d4ddb7c755d5e792f648877)] -> xpath: //span[normalize-space()='Sign in']]
2022-05-16 20:05:644 INFO  SignInPage :55 - verify sign Out Link [[ChromeDriver: chrome on WINDOWS (fec6d7ba0d4ddb7c755d5e792f648877)] -> xpath: //a[@title='Log me out']]
2022-05-16 20:05:529 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-16 20:05:421 INFO  HomePage :59 - Clicking on Signin link : [[ChromeDriver: chrome on WINDOWS (1f6225f0b92f4558ec2822490596e863)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-16 20:05:593 INFO  SignInPage :92 - Sending text to Email Field : [[ChromeDriver: chrome on WINDOWS (1f6225f0b92f4558ec2822490596e863)] -> xpath: //input[@id='email']]
2022-05-16 20:05:782 INFO  SignInPage :97 - Sending text to Password Field : [[ChromeDriver: chrome on WINDOWS (1f6225f0b92f4558ec2822490596e863)] -> xpath: //input[@id='passwd']]
2022-05-16 20:05:15 INFO  SignInPage :102 - Clicking on Signin link : [[ChromeDriver: chrome on WINDOWS (1f6225f0b92f4558ec2822490596e863)] -> xpath: //span[normalize-space()='Sign in']]
2022-05-16 20:05:255 INFO  SignInPage :74 - Clicking on register link : [[ChromeDriver: chrome on WINDOWS (1f6225f0b92f4558ec2822490596e863)] -> xpath: //a[@title='Log me out']]
2022-05-16 20:05:289 INFO  SignInPage :67 - Getting link from signin Field : [[ChromeDriver: chrome on WINDOWS (1f6225f0b92f4558ec2822490596e863)] -> xpath: //span[normalize-space()='Sign in']]
2022-05-16 20:05:436 INFO  ManageDriver :29 - Launching Chrome Browser
